index,rotation_ID,departure time,arrival time,energy consumption summer [kWh],energy consumption winter [kWh],day,distance [m],vehicle_type,charging_type,soc,minimal soc,vehicle_id
01_2-690,2-690,2021-09-16 04:22:18,2021-09-16 19:45:41,362.79,455.59,1,276092.0,AB,OPP,30.2,26.09,AB-OPP_1
02_3-690,3-690,2021-09-17 02:59:49,2021-09-17 22:43:10,433.53,558.37,2,345439.0,AB,OPP,54.16,22.71,AB-OPP_1
03_4-695,4-695,2021-09-18 04:51:34,2021-09-18 20:52:25,289.34,360.04,3,219837.0,AB,OPP,83.35,25.36,AB-OPP_1
04_2-690,2-690,2021-09-19 04:22:18,2021-09-19 19:45:41,362.79,455.59,4,276092.0,AB,OPP,30.2,26.09,AB-OPP_1
05_3-690,3-690,2021-09-20 02:59:49,2021-09-20 22:43:10,433.53,558.37,5,345439.0,AB,OPP,54.16,22.71,AB-OPP_1
01_3-606,3-606,2021-09-16 04:23:23,2021-09-16 20:05:36,312.62,394.12,1,242635.0,AB,OPP,57.25,16.27,AB-OPP_2
02_3-695,3-695,2021-09-17 03:37:27,2021-09-17 20:45:32,299.29,384.47,2,235867.0,AB,OPP,68.92,43.96,AB-OPP_2
03_5-695,5-695,2021-09-18 03:50:13,2021-09-18 22:38:46,330.0,417.4,3,254507.0,AB,OPP,77.4,23.63,AB-OPP_2
04_1-606,1-606,2021-09-19 04:45:33,2021-09-19 22:30:26,371.09,475.97,4,294630.0,AB,OPP,50.51,10.06,AB-OPP_2
05_2-693,2-693,2021-09-20 04:24:48,2021-09-21 05:41:11,411.87,572.39,5,360024.0,AB,OPP,13.57,13.57,AB-OPP_2
